contrato,fatura_on_line,metodo_pagamento,gasto_mensal,gasto_total,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_cabo,streaming_filmes,servico_telefone,multiplas_linhas,genero,idoso_maior_65,possui_parceira,dependentes,tempo_contrato,id_cliente,evadido,compras_diarias,evadido_numerico
two year,0,bank transfer (automatic),19.7,1396.9,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,69,0042-rlhyp,0,0.6566666666666666,0
month-to-month,1,bank transfer (automatic),79.0,929.3,fiber optic,1,0,0,0,no,no,1,1,female,0,0,0,11,0047-zhdtw,,2.6333333333333333,2
one year,0,credit card (automatic),91.2,3247.55,fiber optic,0,0,0,0,yes,yes,1,0,male,0,1,1,37,0048-lumls,0,3.04,0
one year,0,bank transfer (automatic),20.45,900.9,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,0,49,0048-pihnl,0,0.6816666666666666,0
one year,0,bank transfer (automatic),115.8,7942.15,fiber optic,1,1,1,1,yes,yes,1,1,male,0,1,0,66,0052-dckon,0,3.86,0
one year,0,electronic check,20.55,1343.4,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,67,0052-ynyot,0,0.685,0
two year,1,credit card (automatic),39.4,825.4,dsl,1,0,1,1,no,no,0,0,male,0,1,1,20,0056-epfbg,0,1.3133333333333332,0
two year,1,electronic check,25.1,1070.15,no,0,0,0,0,no internet service,no internet service,1,1,female,0,0,1,43,0057-qbuqh,0,0.8366666666666667,0
month-to-month,1,bank transfer (automatic),89.8,4959.6,fiber optic,1,0,0,0,yes,no,1,1,female,0,1,0,55,0058-evzwm,0,2.993333333333333,0
month-to-month,1,electronic check,94.75,5597.65,fiber optic,1,1,0,0,yes,no,1,1,female,0,1,0,59,0060-fualy,0,3.158333333333333,0
two year,0,bank transfer (automatic),20.3,224.5,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,12,0064-sudog,0,0.6766666666666666,0
month-to-month,1,bank transfer (automatic),75.75,1929.0,fiber optic,0,0,0,0,no,no,1,1,male,0,1,1,27,0064-yijgf,0,2.525,0
month-to-month,1,electronic check,49.25,91.1,dsl,1,0,0,0,no,no,1,0,male,1,0,0,2,0067-dkwbl,1,1.6416666666666666,1
one year,0,mailed check,78.2,2078.95,dsl,0,1,1,1,yes,yes,1,0,female,0,0,0,27,0068-figtf,0,2.606666666666667,0
two year,0,credit card (automatic),25.5,630.6,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,25,0071-ndafp,0,0.85,0
one year,1,bank transfer (automatic),61.6,1611.0,dsl,1,1,1,0,no,no,1,0,male,0,1,1,25,0074-hdkdg,0,2.0533333333333332,0
month-to-month,1,mailed check,45.0,1242.45,dsl,1,1,1,1,no,no,0,0,male,0,0,1,29,0076-lveps,0,1.5,0
two year,1,bank transfer (automatic),85.15,6316.2,dsl,0,1,1,1,yes,yes,1,1,male,0,1,0,72,0078-xzmht,0,2.8383333333333334,0
one year,0,credit card (automatic),51.45,727.85,dsl,0,1,0,0,no,no,1,0,female,0,0,0,14,0080-emyvy,0,1.715,0
one year,1,electronic check,99.25,3532.0,fiber optic,0,0,1,1,yes,yes,1,0,female,0,0,0,35,0080-orozo,0,3.308333333333333,0
month-to-month,1,mailed check,44.3,44.3,dsl,0,0,0,0,no,no,1,0,male,0,0,0,1,0082-ldzue,0,1.4766666666666666,0
month-to-month,1,electronic check,94.2,2607.6,fiber optic,0,0,0,1,yes,yes,1,0,male,0,0,0,29,0082-oqiqy,0,3.14,0
one year,0,electronic check,81.25,5567.55,dsl,1,1,1,1,yes,no,1,1,male,0,0,0,64,0083-pivik,0,2.7083333333333335,0
month-to-month,1,credit card (automatic),99.95,3767.4,fiber optic,0,0,0,1,yes,yes,1,1,female,0,1,1,39,0089-iiqko,0,3.3316666666666666,0
month-to-month,1,electronic check,91.55,3673.6,fiber optic,0,0,0,0,yes,yes,1,0,female,1,0,0,40,0093-exyql,0,3.0516666666666667,0
month-to-month,1,credit card (automatic),104.5,4036.85,fiber optic,0,1,1,0,yes,yes,1,1,male,0,0,0,40,0093-xwzfy,1,3.4833333333333334,1
month-to-month,1,electronic check,95.0,1120.3,fiber optic,0,1,0,0,yes,yes,1,0,female,1,0,0,11,0094-oifmo,1,3.1666666666666665,1
month-to-month,0,electronic check,50.35,314.55,dsl,0,0,0,0,no,no,1,1,female,0,1,0,6,0096-bxers,0,1.6783333333333335,0
month-to-month,1,mailed check,64.5,1888.45,dsl,1,0,0,0,no,yes,1,1,male,0,0,0,30,0096-fcpuf,0,2.15,0
month-to-month,1,electronic check,19.4,529.8,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,27,0098-bowso,0,0.6466666666666666,0
one year,1,electronic check,104.8,7308.95,fiber optic,0,1,1,0,yes,yes,1,1,male,1,1,0,70,0100-duvfc,0,3.493333333333333,0
one year,1,bank transfer (automatic),109.4,6252.7,fiber optic,0,1,1,1,yes,yes,1,1,female,0,1,0,57,0103-csitq,0,3.646666666666667,0
one year,0,credit card (automatic),50.3,2878.55,dsl,0,0,1,0,no,no,1,0,male,0,1,0,58,0104-ppxdv,0,1.6766666666666665,0
month-to-month,1,bank transfer (automatic),71.4,1212.1,dsl,0,1,1,0,no,yes,1,1,male,0,0,0,16,0106-ghrqr,0,2.3800000000000003,0
two year,1,electronic check,116.0,8182.85,fiber optic,1,1,1,1,yes,yes,1,1,female,0,1,0,69,0106-ugrdo,0,3.8666666666666667,0
month-to-month,1,electronic check,19.85,19.85,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,1,0107-weslm,1,0.6616666666666667,1
month-to-month,1,electronic check,99.75,99.75,fiber optic,0,0,1,0,yes,yes,1,1,male,0,0,1,1,0107-yhina,1,3.325,1
month-to-month,1,mailed check,93.95,2861.45,fiber optic,0,1,0,0,yes,yes,1,0,male,1,1,1,32,0111-klbqg,0,3.131666666666667,0
month-to-month,1,bank transfer (automatic),90.8,1442.2,fiber optic,0,0,1,0,yes,no,1,1,male,0,1,1,16,0112-qawrz,0,3.0266666666666664,0
one year,0,electronic check,84.35,4059.35,dsl,1,0,1,1,yes,yes,1,1,male,0,1,0,49,0112-qwpnc,1,2.8116666666666665,1
two year,0,bank transfer (automatic),58.25,4145.9,dsl,0,1,1,1,yes,yes,0,0,female,0,1,0,71,0114-igabw,0,1.9416666666666667,0
month-to-month,0,electronic check,107.55,3645.5,fiber optic,0,1,1,0,yes,yes,1,1,female,0,0,0,33,0114-pegzz,0,3.585,0
month-to-month,1,bank transfer (automatic),19.95,187.75,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,0,10,0114-rsrrw,0,0.6649999999999999,0
month-to-month,1,electronic check,111.2,2317.1,fiber optic,0,1,1,1,yes,yes,1,1,male,0,1,0,21,0115-tfert,1,3.7066666666666666,1
month-to-month,0,bank transfer (automatic),40.2,1448.8,dsl,1,1,1,0,no,no,0,0,male,0,1,1,37,0117-lfrmw,1,1.34,1
month-to-month,1,credit card (automatic),85.8,2193.65,fiber optic,1,0,0,0,yes,no,1,0,female,1,0,0,26,0118-jpnoy,0,2.86,0
two year,1,credit card (automatic),19.9,1355.1,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,71,0120-yzlqa,,0.6633333333333333,2
one year,1,mailed check,35.4,1748.9,dsl,1,0,0,1,no,no,0,0,male,0,0,0,50,0121-snyrk,0,1.18,0
month-to-month,1,electronic check,73.85,511.25,fiber optic,0,0,0,0,no,no,1,1,female,0,0,0,7,0122-oahpz,1,2.4616666666666664,1
two year,0,mailed check,88.1,5526.75,dsl,1,1,1,1,yes,yes,1,1,female,0,1,1,61,0123-crbrt,0,2.9366666666666665,0
month-to-month,1,electronic check,101.35,1553.95,fiber optic,0,0,1,1,yes,yes,1,0,male,0,0,0,15,0125-lzqxk,1,3.378333333333333,1
month-to-month,0,mailed check,45.8,1147.0,dsl,1,0,0,1,no,yes,0,0,female,0,0,1,26,0128-mkwsg,0,1.5266666666666666,0
month-to-month,1,electronic check,94.65,6747.35,fiber optic,0,0,1,0,yes,yes,1,0,male,0,1,0,72,0129-kptwj,0,3.1550000000000002,0
one year,1,bank transfer (automatic),20.5,865.05,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,44,0129-qmpdr,0,0.6833333333333333,0
month-to-month,0,credit card (automatic),89.4,5976.9,fiber optic,0,1,0,0,no,yes,1,1,male,0,0,0,66,0130-sxoun,0,2.98,0
month-to-month,1,electronic check,86.25,181.65,fiber optic,1,1,0,1,no,no,1,0,female,0,0,0,2,0133-bmfzo,1,2.875,1
one year,0,bank transfer (automatic),74.85,3268.05,dsl,0,0,1,1,yes,yes,1,0,female,1,0,0,44,0134-xwxce,0,2.4949999999999997,0
month-to-month,1,bank transfer (automatic),89.75,1052.4,fiber optic,0,1,0,0,yes,no,1,1,female,0,0,0,12,0135-nmxap,1,2.9916666666666667,1
two year,1,electronic check,109.95,7634.25,fiber optic,0,1,1,1,yes,yes,1,1,male,1,1,0,69,0136-ifmyd,0,3.665,0
month-to-month,1,mailed check,80.2,80.2,fiber optic,0,1,0,0,no,no,1,1,female,0,0,0,1,0137-ocgab,1,2.6733333333333333,1
month-to-month,0,mailed check,19.85,63.75,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,3,0137-udeuo,1,0.6616666666666667,1
month-to-month,0,electronic check,90.35,190.5,fiber optic,1,1,0,0,yes,no,1,0,female,0,1,0,2,0139-ivfjg,0,3.0116666666666663,0
month-to-month,1,bank transfer (automatic),86.45,2401.05,fiber optic,0,1,1,0,no,no,1,1,female,1,0,0,27,0141-yeays,0,2.881666666666667,0
month-to-month,1,electronic check,20.3,511.25,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,26,0142-gvysn,0,0.6766666666666666,0
month-to-month,1,electronic check,101.25,3949.15,fiber optic,0,0,0,1,yes,yes,1,1,female,1,1,0,39,0147-eswwr,0,3.375,0
month-to-month,1,bank transfer (automatic),94.7,2362.1,fiber optic,0,0,0,0,yes,yes,1,1,male,0,0,0,25,0148-dcdos,1,3.1566666666666667,1
month-to-month,0,mailed check,70.9,70.9,fiber optic,0,0,0,0,no,no,1,0,female,0,0,0,1,0151-ontov,1,2.3633333333333337,1
one year,1,electronic check,58.75,1696.2,dsl,1,1,0,1,no,no,1,0,male,0,0,0,29,0154-qyhju,,1.9583333333333333,2
month-to-month,1,electronic check,54.2,1152.7,dsl,1,0,0,1,no,no,1,0,male,0,1,0,22,0156-fvpta,1,1.8066666666666669,1
month-to-month,0,credit card (automatic),59.9,287.85,dsl,1,1,0,1,no,no,1,0,female,1,0,0,5,0162-rzgmz,,1.9966666666666666,2
two year,1,electronic check,114.9,8496.7,fiber optic,1,1,1,1,yes,yes,1,1,female,0,0,0,72,0164-apgrb,0,3.83,0
two year,1,bank transfer (automatic),19.55,470.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,24,0164-xairp,0,0.6516666666666667,0
month-to-month,1,electronic check,86.85,1564.4,fiber optic,0,0,0,0,yes,no,1,1,female,0,1,0,19,0168-xzkbb,0,2.895,0
two year,0,credit card (automatic),25.35,1847.55,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,71,0174-qrvvy,0,0.8450000000000001,0
month-to-month,1,bank transfer (automatic),109.9,3694.7,fiber optic,1,0,1,1,yes,yes,1,1,male,1,1,0,33,0177-pxbat,0,3.6633333333333336,0
month-to-month,0,mailed check,19.95,58.0,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,3,0178-ciikr,0,0.6649999999999999,0
month-to-month,0,electronic check,87.2,4017.45,fiber optic,0,1,0,0,yes,no,1,1,male,0,1,1,47,0178-szbho,0,2.9066666666666667,0
two year,0,mailed check,108.15,6825.65,fiber optic,1,1,1,1,yes,yes,1,0,male,0,1,1,62,0181-ritdd,0,3.605,0
one year,1,bank transfer (automatic),116.3,8309.55,fiber optic,1,1,1,1,yes,yes,1,1,male,0,0,0,71,0186-caerr,0,3.8766666666666665,0
month-to-month,1,electronic check,89.0,605.45,fiber optic,0,0,0,0,yes,yes,1,0,male,1,1,0,7,0187-qsxoe,0,2.966666666666667,0
month-to-month,0,mailed check,74.4,1972.35,fiber optic,1,0,0,0,no,no,1,0,female,0,1,1,27,0187-wznab,0,2.48,0
month-to-month,0,mailed check,20.05,33.7,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,2,0188-gwfle,0,0.6683333333333333,0
two year,0,bank transfer (automatic),35.05,844.45,dsl,1,0,0,1,no,no,0,0,female,0,0,1,25,0191-equuh,0,1.1683333333333332,0
month-to-month,1,electronic check,74.75,2111.3,dsl,1,1,0,0,yes,yes,1,0,male,1,0,0,30,0191-zhskz,0,2.4916666666666667,0
one year,1,credit card (automatic),105.5,6205.5,fiber optic,1,1,0,1,yes,yes,1,0,female,1,1,0,58,0193-eszxp,1,3.5166666666666666,1
month-to-month,1,electronic check,85.25,855.3,fiber optic,0,0,0,0,no,yes,1,1,male,0,1,0,10,0195-iescp,1,2.841666666666667,1
month-to-month,1,credit card (automatic),75.2,633.85,fiber optic,0,0,0,0,no,no,1,1,female,0,0,0,9,0196-jtuqi,0,2.506666666666667,0
month-to-month,1,electronic check,84.35,474.9,fiber optic,0,0,0,0,no,yes,1,1,female,1,1,0,6,0196-vulgz,1,2.8116666666666665,1
one year,0,bank transfer (automatic),84.45,5848.6,fiber optic,1,0,1,0,no,no,1,1,female,0,1,1,69,0197-pnknk,0,2.815,0
two year,1,bank transfer (automatic),102.4,6471.85,fiber optic,1,0,0,0,yes,yes,1,1,female,1,0,0,66,0201-mibol,0,3.4133333333333336,0
one year,0,credit card (automatic),115.55,8127.6,fiber optic,1,1,1,1,yes,yes,1,1,female,0,0,0,70,0201-oamxr,1,3.8516666666666666,1
one year,0,bank transfer (automatic),25.3,676.35,no,0,0,0,0,no internet service,no internet service,1,1,male,0,0,0,25,0203-hhyij,1,0.8433333333333334,1
two year,1,mailed check,19.25,864.2,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,46,0206-oyvoc,0,0.6416666666666667,0
one year,1,mailed check,114.65,6049.5,fiber optic,1,1,1,1,yes,yes,1,1,female,0,1,0,54,0206-tbwlc,0,3.8216666666666668,0
month-to-month,0,electronic check,105.1,1582.75,fiber optic,1,0,1,1,yes,yes,1,0,female,0,0,0,15,0207-mdknv,1,3.503333333333333,1
month-to-month,0,bank transfer (automatic),19.4,198.1,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,12,0208-bpqej,0,0.6466666666666666,0
month-to-month,1,electronic check,50.35,1098.85,dsl,0,1,0,0,yes,yes,0,0,female,0,0,0,22,0212-isbbf,0,1.6783333333333335,0
two year,0,bank transfer (automatic),57.8,4039.3,dsl,0,1,1,1,yes,yes,0,0,female,0,1,0,70,0214-jhpfw,0,1.9266666666666665,0
month-to-month,1,credit card (automatic),84.3,2438.6,fiber optic,1,1,1,0,no,no,1,0,male,0,0,0,30,0215-bqkgs,0,2.81,0
one year,0,bank transfer (automatic),100.55,7113.75,fiber optic,0,1,0,0,yes,yes,1,1,male,0,1,1,71,0218-qnvas,0,3.3516666666666666,0
one year,0,credit card (automatic),19.8,576.65,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,0,30,0219-qaerp,0,0.66,0
month-to-month,1,bank transfer (automatic),84.8,371.9,fiber optic,0,1,1,0,no,no,1,1,male,0,1,1,4,0219-ytzue,1,2.8266666666666667,1
month-to-month,1,electronic check,85.85,167.3,fiber optic,0,0,1,0,no,yes,1,0,male,0,0,0,2,0220-ebgce,1,2.8616666666666664,1
one year,1,bank transfer (automatic),19.95,219.5,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,1,10,0221-nauxk,0,0.6649999999999999,0
month-to-month,0,electronic check,75.35,273.4,fiber optic,1,0,0,0,no,no,1,0,male,1,0,0,4,0221-wmxnq,0,2.5116666666666663,0
month-to-month,1,credit card (automatic),48.8,2555.05,dsl,1,0,0,0,yes,yes,0,0,male,1,0,0,52,0222-cnvpt,0,1.6266666666666665,0
month-to-month,0,electronic check,47.15,223.15,dsl,0,0,0,0,no,no,1,1,male,0,0,0,5,0224-hjapt,1,1.5716666666666665,1
two year,0,mailed check,20.15,165.5,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,8,0224-nijlp,0,0.6716666666666666,0
month-to-month,1,electronic check,44.3,89.3,dsl,0,0,0,0,no,no,1,0,female,1,0,0,2,0224-rlwwd,0,1.4766666666666666,0
month-to-month,0,electronic check,84.3,235.05,fiber optic,0,1,0,0,no,yes,1,0,male,0,0,0,3,0225-zorzp,0,2.81,0
month-to-month,0,electronic check,59.55,1144.6,dsl,0,0,1,1,no,no,1,1,male,0,0,0,19,0228-mauwc,0,1.9849999999999999,0
two year,0,bank transfer (automatic),69.65,4908.25,dsl,1,1,1,1,no,no,1,1,male,0,0,0,72,0229-lfjaf,0,2.3216666666666668,0
one year,0,bank transfer (automatic),36.1,2298.9,dsl,1,0,0,1,no,no,0,0,male,1,1,0,63,0230-ubypq,0,1.2033333333333334,0
two year,1,bank transfer (automatic),56.6,3789.2,dsl,1,1,1,1,yes,no,0,0,male,0,1,0,66,0230-wequw,0,1.8866666666666667,0
month-to-month,1,electronic check,75.9,75.9,fiber optic,0,0,0,1,no,no,1,0,male,0,0,0,1,0231-lxvap,1,2.5300000000000002,1
one year,1,bank transfer (automatic),79.2,4765.0,fiber optic,0,0,1,0,no,no,1,1,female,0,0,0,60,0233-fthav,0,2.64,0
one year,0,credit card (automatic),45.0,2196.3,dsl,1,0,1,0,no,yes,0,0,female,0,1,1,48,0234-tevtt,0,1.5,0
month-to-month,1,credit card (automatic),85.55,85.55,fiber optic,0,0,1,0,yes,no,1,0,female,0,0,0,1,0235-kgslc,1,2.8516666666666666,1
month-to-month,1,electronic check,93.35,1444.65,fiber optic,0,0,0,0,yes,yes,1,1,male,0,0,0,15,0236-hfwsv,1,3.1116666666666664,1
month-to-month,1,bank transfer (automatic),109.65,5405.8,fiber optic,1,1,0,1,yes,yes,1,1,female,0,1,0,50,0237-yfutl,0,3.6550000000000002,0
two year,0,credit card (automatic),89.7,6339.3,dsl,1,1,1,1,yes,yes,1,1,male,0,1,1,72,0238-whbiq,0,2.99,0
month-to-month,0,mailed check,84.25,3847.6,fiber optic,1,1,0,0,no,no,1,1,female,0,0,0,46,0239-oxexl,0,2.808333333333333,0
two year,0,bank transfer (automatic),92.65,6733.0,dsl,1,1,1,1,yes,yes,1,1,female,0,1,1,72,0244-lgnfy,0,3.0883333333333334,0
month-to-month,0,mailed check,19.7,19.7,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,1,1,0247-sluji,0,0.6566666666666666,0
month-to-month,1,electronic check,50.1,50.1,dsl,0,0,0,0,no,no,1,1,female,0,0,0,1,0248-ipdfw,0,1.6700000000000002,0
two year,1,bank transfer (automatic),92.45,6140.85,fiber optic,1,1,0,1,yes,no,1,0,female,1,0,0,67,0248-pghbz,0,3.0816666666666666,0
two year,0,electronic check,79.65,3870.3,dsl,0,1,0,1,yes,yes,1,1,female,0,1,1,48,0253-zteob,0,2.6550000000000002,0
two year,1,electronic check,109.9,7624.2,fiber optic,1,1,1,1,yes,yes,1,0,female,0,0,0,72,0254-fnmci,0,3.6633333333333336,0
one year,1,credit card (automatic),81.4,4354.45,dsl,1,1,1,1,no,yes,1,1,male,0,1,0,52,0254-kcjgt,0,2.7133333333333334,0
one year,0,credit card (automatic),50.55,3431.75,dsl,0,1,0,0,no,no,1,0,female,0,1,1,67,0254-wwrkd,0,1.6849999999999998,0
month-to-month,1,electronic check,81.05,2227.1,fiber optic,0,0,0,0,no,yes,1,0,female,0,1,1,28,0256-lthvj,1,2.7016666666666667,1
month-to-month,0,bank transfer (automatic),62.45,2045.55,dsl,0,1,1,0,no,no,1,1,female,0,1,1,32,0257-kxzgu,0,2.0816666666666666,0
month-to-month,1,bank transfer (automatic),75.2,1929.35,fiber optic,1,0,0,0,no,no,1,0,female,1,1,0,27,0257-zesqc,1,2.506666666666667,1
month-to-month,0,electronic check,90.4,268.45,fiber optic,0,1,1,0,no,yes,1,0,male,0,0,0,3,0258-nokbl,0,3.0133333333333336,0
month-to-month,1,electronic check,85.65,181.5,fiber optic,0,0,0,0,yes,no,1,1,male,0,0,0,2,0259-gbzsh,1,2.855,1
month-to-month,1,mailed check,72.9,651.4,dsl,0,0,1,1,yes,yes,1,0,female,0,0,1,9,0260-zdlgk,1,2.43,1
two year,1,credit card (automatic),70.5,3486.65,dsl,1,0,0,1,yes,no,1,1,male,0,1,1,50,0263-fjtqo,0,2.35,0
two year,0,bank transfer (automatic),20.1,1389.6,no,0,0,0,0,no internet service,no internet service,1,0,female,0,1,1,71,0264-cnitk,0,0.67,0
month-to-month,1,electronic check,74.9,2303.35,fiber optic,0,0,0,0,no,no,1,1,male,1,1,0,32,0265-edxbd,1,2.496666666666667,1
month-to-month,0,bank transfer (automatic),100.7,1522.7,fiber optic,1,0,1,0,yes,yes,1,0,female,0,1,1,16,0265-psuae,0,3.356666666666667,0
two year,1,bank transfer (automatic),105.65,6717.9,fiber optic,0,0,1,1,yes,yes,1,1,female,0,1,1,67,0266-clzkz,0,3.521666666666667,0
two year,1,credit card (automatic),114.3,8058.55,fiber optic,1,1,1,1,yes,yes,1,1,male,0,1,1,72,0266-gmeao,0,3.81,0
month-to-month,0,electronic check,19.75,58.85,no,0,0,0,0,no internet service,no internet service,1,0,female,0,0,0,3,0268-qkiwo,1,0.6583333333333333,1
one year,0,mailed check,24.35,538.5,no,0,0,0,0,no internet service,no internet service,1,1,male,0,1,1,23,0269-xfesx,0,0.8116666666666668,0
two year,0,bank transfer (automatic),69.85,5102.35,dsl,1,1,1,1,no,no,1,1,male,0,1,1,72,0270-thenm,0,2.328333333333333,0
month-to-month,0,mailed check,58.85,465.7,dsl,1,1,1,0,yes,yes,0,0,male,0,1,1,7,0274-jkujr,0,1.9616666666666667,0
one year,1,bank transfer (automatic),103.15,6792.45,fiber optic,0,1,1,0,yes,yes,1,1,male,1,1,0,65,0274-vvqoq,,3.4383333333333335,2
month-to-month,1,electronic check,54.4,475.1,dsl,0,0,0,0,yes,no,1,0,male,0,1,1,8,0277-bksqp,0,1.8133333333333332,0
two year,0,bank transfer (automatic),50.55,3364.55,dsl,0,0,0,1,yes,yes,0,0,male,0,1,1,66,0277-orxqs,0,1.6849999999999998,0
month-to-month,0,mailed check,21.05,113.85,no,0,0,0,0,no internet service,no internet service,1,0,male,0,0,0,5,0278-yxoog,1,0.7016666666666667,1
month-to-month,1,bank transfer (automatic),103.7,5036.3,fiber optic,0,1,1,0,yes,yes,1,1,male,0,0,0,49,0280-xjgex,1,3.4566666666666666,1
two year,1,bank transfer (automatic),19.95,1234.8,no,0,0,0,0,no internet service,no internet service,1,0,male,0,1,0,63,0281-cntzx,0,0.6649999999999999,0
month-to-month,1,mailed check,29.3,355.9,dsl,0,0,0,1,no,no,0,0,female,1,1,1,12,0282-nvsjs,0,0.9766666666666667,0
